Region of Citizenship,Name,Net Worth ($M),Rank,Age,Primary Industry,Secondary Industry
USA,Stephen Ross,3.1,367,71,Real Estate,
USA,Igor Olenicoff,2.6,464,69,Real Estate,
USA,Alfred Taubman,2.5,491,88,Real Estate,
USA,Edward Roski Jr,2.1,601,73,Real Estate,
USA,Neil Bluhm,2,634,74,Real Estate,
USA,Richard Peery,1.9,683,73,Real Estate,
USA,Sheldon Solow,1.9,683,83,Real Estate,
USA,Herbert Simon,1.8,719,77,Real Estate,
USA,John Arrillaga,1.8,719,74,Real Estate,
USA,Jerry Speyer,1.7,764,71,Real Estate,
USA,Donald Sterling,1.5,854,76,Real Estate,
USA,Leon Charney,1.3,960,70,Real estate,
USA,Alan Casden,1.2,1015,66,Real Estate,private equity
USA,Alexander Spanos & family,1.1,1075,88,Real Estate,Real Estate
USA,Bernard Saul II,1.1,1075,79,Real Estate,
USA,Carl Berg,1.1,1075,74,Real Estate,
USA,Denise York,1,1153,61,Real Estate,real estate
Cyprus,Suat Gunsel,1,1153,59,Real Estate,Education
USA,Richard Rainwater,2.3,546,67,Real Estate,Energy
Saudi Arabia,Mohamed Bin Issa Al Jaber,7,133,53,Real Estate,Leisure
Sweden,Fredrik Lundberg,2.7,442,60,Real Estate,Finance
USA,Jeff Greene,2.1,601,57,Real Estate,Finance
USA,George Argyros,1.8,719,75,Real Estate,Finance
Lebanon,Bahaa Hariri,2.5,491,45,Real Estate,Finance
USA,Mortimer Zuckerman,2.3,546,74,Real Estate,Media
USA,Sam Zell,4.9,216,70,Real Estate,Finance
United Arab Emirates,Majid Al Futtaim,1.1,1075,0,Real Estate,Retail
Germany,Georg von Opel,1.9,683,45,Real Estate,Finance
England,Clive Calder,2.4,521,65,Media,record label
Austria,Dietrich Mateschitz,5.3,193,67,Food & Drinks,Drinks
Australia,Solomon Lew,1.1,1075,67,Retail,
Austria,Karl Wlaschek,4.7,223,94,Retail,
Austria,Heidi Horten,3.2,358,71,Retail,
Belize,Huang Maoru & family,1.1,1075,46,Retail,
Brazil,Abilio dos Santos Diniz,3.6,304,75,Retail,
Brazil,Nevaldo Rocha & family,2.5,491,83,Retail,
Canada,Galen Weston & family,7.6,121,71,Retail,
Canada,Robert Miller,2.5,491,66,Retail,
Canada,Lawrence Stroll,1.8,719,52,Retail,
Chile,Horst Paulmann & family,9.3,98,77,Retail,
China,Zhang Jindong,4.5,232,48,Retail,
China,Qiu Guanghe & family,3.3,344,60,Retail,
China,Zhou Chengjian,3.3,344,46,Retail,
China,Shen Guojun,1.6,804,49,Retail,
China,Che Jianxin,1.3,960,45,Retail,
China,Huang Shaowu,1.1,1075,41,Retail,
Denmark,Lars Larsen,3.6,304,63,Retail,
France,Francois Pinault & family,13,59,75,Retail,
Germany,Karl Albrecht,25.4,10,92,Retail,Department Stores
Germany,Berthold & Theo Jr. Albrecht,17.8,32,0,Retail,Department Stores
Germany,Karln.a.Heinz Kipp,5,205,88,Retail,
Germany,Erivan Haub & family,4,276,79,Retail,
Germany,Otto Beisheim,3.3,344,88,Retail,
Germany,Michael & Rainer Schmidtn.a.Ruthenbeck,2.3,546,0,Retail,
India,Micky Jagtiani,3.8,290,60,Retail,
Indonesia,Djoko Susanto,1,1153,62,Retail,
Italy,Diego Della Valle,1.2,1015,58,Retail,
Japan,Tadashi Yanai & family,10,88,63,Retail,
Japan,Masahiro Miki,2.6,464,56,Retail,
Japan,Masatoshi Ito,2.5,491,87,Retail,
Japan,Akio Nitori,1.2,1015,68,Retail,
Japan,Nobutoshi Shimamura & family,1,1153,86,Retail,
Mexico,Jeronimo Arango & family,4,276,86,Retail,
Norway,Stein Erik Hagen & family,2.7,442,55,Retail,
Portugal,Eliseo Alexandre Soares dos Santos & family,2.5,491,77,Retail,
Portugal,Belmiro de Azevedo,1,1153,74,Retail,
Russia,Sergei Galitsky,4.9,216,44,Retail,
South Korea,Shin Dongn.a.Bin,1.8,719,57,Retail,
South Korea,Shin Dongn.a.Joo,1.7,764,58,Retail,
South Korea,Lee Myungn.a.Hee,1.6,804,68,Retail,
South Korea,Chung Yongn.a.Jin,1,1153,43,Retail,
St. Kitts and Nevis,Jacky Xu,1.6,804,0,Retail,Clothing
England,Philip & Cristina Green,4.2,255,60,Retail,
England,Robert Miller,1.5,854,0,Retail,
England,David Sainsbury,1.1,1075,71,Retail,
USA,John Menard Jr,4.5,232,72,Retail,
USA,Leslie Wexner,4.3,248,74,Retail,
USA,Jin Sook & Do Won Chang,4,276,57,Retail,
USA,Roger Wang,4,276,63,Retail,
USA,Doris Fisher,2.3,546,80,Retail,Clothing
USA,John Fisher,2,634,50,Retail,Clothing
USA,William Fisher,1.3,960,54,Retail,Clothing
USA,Robert Fisher,1.2,1015,58,Retail,Clothing
USA,Sidney Kimmel,1.2,1015,84,Retail,
USA,Kevin Plank,1.1,1075,39,Retail,Clothing
USA,Michael Krasny,1.1,1075,58,Retail,
USA,Richard Hayne,1.1,1075,64,Retail,Clothes
USA,Sara Blakely,1,1153,41,Retail,Clothing
USA,William Kellogg,1,1153,68,Retail,Department Stores
Russia,Maxim Nogotkov,1,1153,35,Retail,Banking
Mexico,Ricardo Salinas Pliego & family,17.4,37,56,Retail,Media
Germany,Michael Otto & family,17.6,34,68,Retail,Real Estate
Russia,Aras Agalarov,1.6,804,56,Retail,Real Estate
Egypt,Mohamed Al Fayed,1.3,960,79,Retail,
South Africa,Christoffel Wiese,3.1,367,70,Retail,
China,Wong Kwong Yu & family,2,634,42,Retail,
USA,Diane Hendricks,2.8,418,65,Construction,
Norway,Arne Wilhelmsen & family,1.6,804,81,Leisure,Royal Caribbean
USA,Christopher Goldsbury,1.3,960,69,Food & Drinks,Food
South Korea,Lee Kunn.a.Hee,8.3,106,70,High Tech,Samsung
South Korea,Jay Y. Lee,3.6,304,43,High Tech,Samsung
South Korea,Lee Boon.a.Jin,1.2,1015,41,High Tech,Samsung
South Korea,Ran.a.Hee Hong Lee,1.2,1015,66,High Tech,Samsung
South Korea,Lee Seon.a.Hyun,1,1153,39,High Tech,Samsung
Germany,Hasso Plattner,7.2,127,68,Software,SAP
Germany,Dietmar Hopp,5.5,184,71,Software,SAP
Germany,Klaus Tschira,2.9,401,71,Software,SAP
Germany,Hansn.a.Werner Hector,1.6,804,72,Software,SAP
USA,James Goodnight,7.3,125,69,Software,SAS
USA,John Sall,3.7,296,63,Software,
USA,Helen Johnsonn.a.Leipold,2.5,491,55,Chemicals,
USA,H. Fisk Johnson,2.5,491,53,Chemicals,
USA,Imogene Powers Johnson,2.5,491,82,Chemicals,
USA,S. Curtis Johnson,2.5,491,56,Chemicals,
USA,Winnie Johnsonn.a.Marquart,2.5,491,52,Chemicals,
Sweden,Gustaf Douglas,2.8,418,74,Manufacturing,Security
England,Michael Ashcroft,1,1153,66,Manufacturing,Security
USA,Tamara Gustavson,2.7,442,50,Construction,
USA,Bradley Hughes,1.9,683,78,Construction,
Taiwan,Tsai Mingn.a.kai,1.2,1015,0,High Tech,semiconductors
USA,Henry Samueli,1.8,719,57,High Tech,semiconductors
USA,Henry Nicholas III,1.4,913,52,High Tech,semiconductors
Japan,Takemitsu Takizaki,3.5,314,66,High Tech,sensors
Austria,Helmut Sohmen,1.4,913,72,Transportation,Shipping
Cyprus,John Fredriksen,11.3,75,67,Transportation,Shipping
Germany,Klausn.a.Michael Kuhne,9.8,95,74,Transportation,Shipping
Turkey,Mubariz Gurbanoglu,1,1153,44,Transportation,Shipping
Norway,Kjell Inge Rokke,2.1,601,53,Transportation,Food & Drinks
Germany,Heinzn.a.Horst Deichmann,4.1,270,85,Manufacturing,Shoes
Italy,Mario Moretti Polegato,1.8,719,59,Manufacturing,Shoes
Italy,Andrea Della Valle,1.1,1075,46,Manufacturing,Shoes
Brazil,Jose Isaac Peres,1.5,854,70,Retail,Department Stores
USA,Edward DeBartolo Jr,2.3,546,65,Retail,Department Stores
Australia,Frank Lowy & family,4.4,242,81,Retail,Department Stores
Australia,John Gandel,3.2,358,77,Retail,Department Stores
Canada,David Azrieli & family,2.9,401,89,Retail,Department Stores
USA,S. Daniel Abraham,1.7,764,87,Food & Drinks,Pharmaceuticals
Japan,Yoshikazu Tanaka,4.3,248,35,Internet,Social Networking
Russia,Yuri Milner,1,1153,50,Internet,
Japan,Masayoshi Son,7.2,127,54,Banking,Softbank
India,Azim Premji,15.9,41,66,Software,
India,N.R. Narayana Murthy & family,1.7,764,65,Software,
India,Senapathy Gopalakrishnan & family,1.5,854,56,Software,
India,Nandan Nilekani & family,1.4,913,56,Software,
India,K. Dinesh & family,1,1153,57,Software,
Israel,Gil Shwed,1.9,683,44,Software,
Israel,Marius Nacht,1.2,1015,46,Software,
Israel,Morris Kahn,1,1153,82,Software,
Switzerland,Walter Haefner,4.3,248,101,Software,
USA,Marc Benioff,2,634,47,Software,business software
USA,Romesh T. Wadhwani,2,634,64,Software,
China,Zhu Gongshan,2.1,601,54,High Tech,Energy
USA,Victor Fung & family,3.7,296,66,Finance,Investments
USA,William Connor II,1.4,913,62,Finance,Investments
USA,Dan Snyder,1.1,1075,47,Sports,Football
USA,Jeffrey Lurie,1.1,1075,60,Sports,Football
USA,John Henry,1.1,1075,62,Sports,
USA,Tom Benson,1.1,1075,84,Sports,Football
USA,Jeremy Jacobs Sr,2,634,72,Sports,
England,Michael Ashley,2.5,491,52,Sports,Retail
USA,Malcolm Glazer & family,2.7,442,83,Sports,Real Estate
USA,Stanley Kroenke,3.2,358,64,Sports,Real Estate
USA,David Rockefeller Sr,2.5,491,96,Energy,Banking
USA,George Lucas,3.2,358,67,Media,Movies
USA,Howard Schultz,1.5,854,58,Food & Drinks,Retail
Brazil,Dorothea Steinbruch & family,4.5,232,0,Mining,Steel
China,Shen Wenrong,1.5,854,66,Mining,
China,Zhang Zhixiang,1.1,1075,45,Mining,
India,Lakshmi Mittal,20.7,21,61,Mining,
India,Savitri Jindal & family,10.9,80,62,Mining,
India,Brij Bhushan Singal,1.3,960,75,Mining,
Russia,Viktor Rashnikov,5.6,183,63,Mining,
Russia,Andrei Skoch,4.2,255,46,Mining,
Russia,Igor Zyuzin,3.1,367,51,Mining,
Russia,Andrei Klyamko,1.9,683,50,Mining,
Russia,Vadim Novinsky,1.9,683,48,Mining,
Spain,Jose Maria Aristrain,1.1,1075,49,Mining,
Russia,Anatoly Sedykh,2,634,47,Mining,Manufacturing
Russia,Dmitry Pumpyansky,2,634,48,Mining,Manufacturing
Ukraine,Victor Pinchuk,4.2,255,51,Mining,Manufacturing
Ukraine,Rinat Akhmetov,16,39,45,Mining,Energy
Russia,Alexei Mordashov,15.3,45,46,Mining,Finance
Russia,Roman Abramovich,12.1,68,45,Mining,Finance
Russia,Alexander Abramov,5.4,189,53,Mining,Finance
Russia,Alisher Usmanov,18.1,28,58,Mining,Finance
Russia,Vladimir Lisin,15.9,41,55,Mining,Transportation
USA,Fred DeLuca,2.5,491,64,Food & Drinks,Fast Food
USA,Peter Buck,2.5,491,81,Food & Drinks,Fast Food
Brazil,Rubens Ometto Silveira Mello,2.7,442,62,Food & Drinks,Food
Nigeria,Aliko Dangote,11.2,76,54,Food & Drinks,Food
USA,James Jannard,3,377,62,Retail,sunglasses
Spain,Juan Roig,4.7,223,62,Retail,Department Stores
USA,Charles Butt & family,6.4,153,74,Retail,Department Stores
USA,Hank & Doug Meijer,4.9,216,0,Retail,Department Stores
USA,Ron Burkle,3.2,358,59,Retail,Department Stores
China,Robin Li,10.2,86,43,High Tech,
Nigeria,Mike Adenuga,4.3,248,58,Telecom,Banking
Egypt,Naguib Sawiris,3.1,367,57,Telecom,
India,Sunil Mittal & family,8.1,113,54,Telecom,
India,Bhupendra Kumar Modi,1,1153,63,Telecom,
Ireland,Denis O'Brien,5,205,53,Telecom,
Lebanon,Najib Mikati,3,377,56,Telecom,
Lebanon,Taha Mikati,3,377,67,Telecom,
Mexico,Carlos Slim Helu & family,69,1,72,Telecom,
Russia,Vladimir Yevtushenkov,6,166,63,Telecom,
Turkey,Murat Vargi,1,1153,64,Telecom,
USA,Craig McCaw,1.6,804,62,Telecom,
China,Ren Zhengfei,1,1153,68,Telecom,Manufacturing
Turkey,Mehmet Emin Karamehmet,2.9,401,67,Telecom,Diversified
Russia,Gleb Fetisov,1.3,960,45,Telecom,Finance
Poland,Jan Kulczyk,2.7,442,62,Telecom,Energy
USA,Kenny Troutt,1.2,1015,64,Telecom,
Malaysia,Ananda Krishnan,9.9,93,73,Telecom,
USA,Haim Saban,2.9,401,67,Media,Television
USA,Oprah Winfrey,2.7,442,58,Media,Television
USA,A. Jerrold Perenchio,2.3,546,81,Media,Television
USA,Edmund Ansin,1.3,960,76,Media,v
USA,Donald Trump,2.9,401,65,Media,Real Estate
France,Philippe Forieln.a.Destezet,2.4,521,76,Diversified,Education
Netherlands,Frits Goldschmeding,2.8,418,78,Diversified,Education
USA,Elon Musk,2,634,40,High Tech,Tesla Motors
China,Ma Jianrong & family,1.2,1015,48,Manufacturing,Texile
Malaysia,Tiong Hiew King,1.5,854,77,timber,
USA,Archie Aldis Emmerson,2.6,464,82,"timberland, lumber mills",
China,Niu Yishun,1,1153,57,Manufacturing,Automotive
Taiwan,Luo Jye & family,3,377,86,Manufacturing,Automotive
USA,Brad Kelley,1.7,764,55,Manufacturing,Retail
Russia,Igor Kesaev,1.8,719,45,Manufacturing,Retail
Indonesia,Michael Hartono,6.3,157,72,Manufacturing,Banking
Israel,Stef Wertheimer & family,4.2,255,86,Manufacturing,Machinery
Turkey,Mehmet Nazif Gunal,1,1153,64,Leisure,Construction
USA,Thomas Friedkin,1.6,804,76,Automotive,Distribution
Taiwan,Chang Yung Fa & family,1.9,683,84,Transportation,
Russia,Dmitry Kamenshchik,1,1153,43,Transportation,Airport
USA,Manuel Moroun & family,1.5,854,84,Transportation,
Russia,Valery Kogan,1.6,804,61,Trasportation,Airport
USA,Steven Udvarn.a.Hazy,3.4,330,66,Trasportation ,Aircraft Leasing
Switzerland,Sergio Mantegazza,2.3,546,84,Leisure,Travel
USA,Johnelle Hunt,1.6,804,80,Trasportation ,
Netherlands,John de Mol,2,634,57,Media,Television
Netherlands,Joop van den Ende,1.3,960,70,Media,Television
Poland,Zygmunt Solorzn.a.Zak,2.5,491,55,Media,Television
USA,Robert Pera,1.5,854,34,Internet,
Canada,Ronald Southern,1.2,1015,81,Energy,Distribution
England,James Dyson,4.2,255,64,Manufacturing,vacuums
USA,Gabe Newell,1.5,854,49,Software,Gaming
USA,John Doerr,2.4,521,60,Finance,Venture Capital
USA,Michael Moritz,1.7,764,57,Finance,Venture Capital
USA,Kavitark Ram Shriram,1.6,804,55,Finance,Internet
USA,Sumner Redstone,4.4,242,88,Media,Viacom
England,Richard Branson,4.2,255,61,Diversified,Virgin
USA,Christy Walton & family,25.3,11,57,Retail,Department Stores
USA,Jim Walton,23.7,16,64,Retail,Department Stores
USA,Alice Walton,23.3,17,62,Retail,Department Stores
USA,S. Robson Walton,23.1,18,68,Retail,Department Stores
USA,Ann Walton Kroenke,3.9,288,63,Retail,Department Stores
USA,Nancy Walton Laurie,3.4,330,60,Retail,
USA,Drayton McLane Jr,2,634,75,Retail,Ditribution
USA,Bob Parsons,1.5,854,61,Internet,Hosting
Germany,Aloys Wobben,2.3,546,60,Energy,Wind
USA,David Filo,1.3,960,45,Internet,Yahoo
Spain,Amancio Ortega,37.5,5,75,Finance,
Spain,Rosalia Mera,4.5,232,68,Apparel,Clothing
