Rank,Previous Rank,Name,Computer/System Model,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Efficiency [GFlops/Watts],Architecture,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,System Family,Continent
184,,NNN1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Lenovo,China,2021,Industry,74880,,2834.05,5990.4,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
185,150,Freeman,"Cray CS500, AMD EPYC 7542 32C 2.9GHz, Mellanox InfiniBand HDR100",HPE,United States,2020,Research,79104,,2829,3670.43,,,Cluster,AMD Zen-2 (Rome),2900,RHEL 7.7,Linux,None,32,Cray CS,North America
186,151,SuperMUC Phase 2,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",Lenovo/IBM,Germany,2015,Academic,86016,,2813.62,3578.266,1480.83,1.900029038,Cluster,Intel Haswell,2600,Linux,Linux,None,14,NeXtScale,Europe
187,,OOO1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Lenovo,China,2021,Industry,73920,,2804.41,5913.6,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
188,152,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",HPE,United Kingdom,2016,Research,89856,,2801.782,3019.162,1347.84,2.078720026,MPP,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Cray XC,Europe
189,153,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",HPE,United Kingdom,2016,Research,89856,,2801.782,3019.162,1347.84,2.078720026,MPP,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Cray XC,Europe
190,154,JFRS-1,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",HPE,Japan,2018,Research,54560,,2787.14,4190.208,697.51,3.995842354,MPP,Intel Skylake,2400,Cray Linux Environment ,Linux,None,20,Cray XC,Asia
191,155,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,68000,,2779.84,5440,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
192,156,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Lenovo,China,2021,Industry,72960,,2774.23,5836.8,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
193,157,Spartan3,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Mellanox InfiniBand HDR100",Atos,France,2021,Vendor,92160,,2751,3612.67,,,Cluster,AMD Zen-3 (Milan),2450,Linux,Linux,None,64,BullSequana,Europe
194,158,ZZ2,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Lenovo,China,2020,Industry,67200,,2749.28,5376,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
195,159,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,66400,,2746.3,5312,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
196,160,,"ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Lenovo,China,2019,Government,59976,48960,2744.84,5354.878,,,Cluster,Intel Cascade lake,2600,Linux,Linux,NVIDIA Tesla V100,18,Lenovo ThinkSystem,Asia
197,161,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Lenovo,China,2021,Industry,72000,,2742.91,5760,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
198,,Topaze-gpu,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, Mellanox HDR Infiniband",Atos,France,2021,Research,26880,20736,2741,3744,,,Cluster,AMD Zen-3 (Milan),2450,Linux,Linux,NVIDIA A100,64,BullSequana,Europe
199,162,VSC-4,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Lenovo,Austria,2019,Academic,37920,,2726.0779,3761.664,,,Cluster,Intel Skylake,3100,SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Lenovo ThinkSystem,Europe
200,163,SNL/NNSA CTS-1 Attaway,"Tundra Extreme Scale, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",Penguin Computing,United States,2019,Research,52920,,2724.52,3894.912,750,3.632693333,Cluster,Intel Skylake,2300,Linux/TOSS,Linux,None,18,Penguin Computing Cluster,North America
201,164,ZZ3,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Lenovo,China,2020,Industry,66400,,2721.33,5312,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
202,165,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Lenovo,China,2021,Industry,71040,,2710.88,5683.2,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
203,166,ZZ4,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Lenovo,China,2020,Industry,65600,,2691.69,5248,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
204,167,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Lenovo,China,2021,Industry,70080,,2677.05,5606.4,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
205,168,Banting,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",HPE,Canada,2019,Government,53200,,2676.74,4085.76,,,MPP,Intel Skylake,2400,Cray Linux Environment ,Linux,None,20,Cray XC,North America
206,169,Hypercluster,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",Nvidia,United States,2019,Research,47808,46080,2666,4219.085,,,Cluster,Intel Skylake,2700,Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,NVIDIA DGX,North America
207,170,ZZ5,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",Lenovo,China,2020,Industry,64800,,2661.46,5184,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
208,171,ZZ6,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Lenovo,China,2020,Industry,69120,,2654.04,5529.6,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
209,172,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Lenovo,China,2020,Industry,128000,,2651.95,4710.4,,,Cluster,Intel Skylake,2300,Linux,Linux,None,16,Lenovo ThinkSystem,Asia
210,173,Grace,"PowerEdge R640/R740/R840, Xeon Gold 6248R/6248R/6248, 24C 3.0GHz, InfiniBand HDR100",DELL EMC,United States,2020,Academic,43200,1532,2638.53,4829.34,,,Cluster,Intel Cascade lake,3000,CentOS,Linux,None,24,Dell PowerEdge Cluster,North America
211,174,LLNL/NNSA CTS-1 Jade,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Penguin Computing,United States,2016,Research,95472,,2632.51,3207.8592,13620,0.1932826725,Cluster,Intel Broadwell,2100,Linux/TOSS,Linux,None,18,Penguin Computing Cluster,North America
212,175,LLNL CTS-1 Quartz,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Penguin Computing,United States,2016,Research,95472,,2632.51,3207.8592,13620,0.1932826725,Cluster,Intel Broadwell,2100,Linux/TOSS,Linux,None,18,Penguin Computing Cluster,North America
213,176,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,64000,,2621.44,5120,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
214,,"Big Red 200, GPU Partition","HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100, Slingshot-10",HPE,United States,2021,Academic,31744,27648,2618,4006.14,,,MPP,AMD Zen-3 (Milan),2000,SLES15 SP2,Linux,NVIDIA A100,64,HPE Cray EX,North America
215,177,,"Inspur TS10000, Xeon Gold 6258R 28C 2.7GHz, InfiniBand HDR100",Inspur,China,2020,Academic,50400,,2610,4354.56,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Inspur Cluster,Asia
216,,A7A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,76800,,2609.38,5160.96,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
217,,A7A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,76800,,2609.38,5160.96,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
218,,A1B,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,76800,,2609.38,5160.96,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
219,178,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Lenovo,China,2021,Industry,68160,,2609.16,5452.8,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
220,179,Cedar (CPU),"PowerEdge C6420, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",ACTION,Canada,2020,Academic,67584,,2607.98,4895.539,792,3.29290404,Cluster,Intel Cascade lake,2400,CentOS,Linux,None,24,Dell PowerEdge Cluster,North America
221,180,Daley,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",HPE,Canada,2019,Government,53200,,2598.28,4085.76,,,MPP,Intel Skylake,2400,Cray Linux Environment ,Linux,None,20,Cray XC,North America
222,181,AlphaCentauri,"NEC HPC 22S8Ri-4, EPYC 7352 24C 2.3GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200",NEC,Germany,2021,Academic,31008,29376,2592,5364.06,163.65,15.83868011,Cluster,AMD Zen-2 (Rome),2300,CentOS,Linux,NVIDIA A100 SXM4 40 GB,24,NEC Cluster,Europe
223,182,HPC3,"Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR, NVIDIA Tesla K80",Lenovo,Italy,2017,Industry,66000,39000,2592,3798.6,,,Cluster,Intel Broadwell,2300,Linux,Linux,NVIDIA Tesla K80,18,Lenovo NeXtScale,Europe
224,183,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet",Lenovo,China,2020,Industry,62400,,2590.84,4992,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
225,184,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Lenovo,China,2020,Industry,64320,,2583.09,5145.6,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
226,185,,"ThinkSystem HR650X, Xeon Gold 6230R 26C 2.1GHz, 10G Ethernet",Lenovo,China,2021,Industry,83200,,2581.02,5591.04,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,26,Lenovo ThinkSystem,Asia
227,186,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Lenovo,China,2021,Industry,67200,,2574.02,5376,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
228,187,Mihir,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",HPE,India,2018,Research,83592,,2570.4,2808.691,954.73,2.692279493,MPP,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Cray XC,Asia
229,188,Tianhe-1A,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",NUDT,China,2010,Research,186368,100352,2566,4701,4040,0.6351485149,MPP,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,NUDT MPP,Asia
230,189,Spartan2,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband",Atos,France,2020,Vendor,23040,20736,2566,3847.22,105.76,24.26248109,Cluster,AMD Zen-2 (Rome),2800,Linux,Linux,NVIDIA A100,24,BullSequana,Europe
231,190,PAI-BSystem,"Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100",Sugon,China,2018,Research,50816,2688,2547,4229.8496,710,3.587323944,Cluster,Intel Skylake,2600,RHEL 7.3,Linux,NVIDIA Tesla P100,16,Sugon Cluster,Asia
232,191,cascade,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",Atipa,United States,2013,Research,194616,171720,2539.13,3388.032,1384,1.834631503,Cluster,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Atipa Cluster,North America
233,,Rattler,"PowerEdge XE8545, AMD EPYC 7713 64C 2GHz, NVIDIA A100 80GB​, Infiniband HDR200 dual rail",DELL EMC,United States,2021,Vendor,26880,20736,2531,3940.61,,,Cluster,AMD Zen-3 (Milan),2000,RHEL,Linux,NVIDIA A100 40GB,64,Dell PowerEdge Cluster,North America
234,192,occigen2,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Atos,France,2016,Academic,85824,,2494.65,3570.278,1430,1.74451049,Cluster,Intel Broadwell,2600,bullx SCS,Linux,None,14,Bull Bullx,Europe
235,193,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Lenovo,China,2020,Industry,61440,,2487.09,4915.2,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
236,194,Excalibur,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",HPE,United States,2014,Government,100064,,2485,3682.3552,1465.78,1.695343094,MPP,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Cray XC,North America
237,195,CLAIX (2018),"INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",NEC,Germany,2018,Academic,61200,,2483.58,4112.64,692.05,3.588729138,Cluster,Intel Skylake,2100,CentOS,Linux,None,24,NEC Cluster,Europe
238,196,Expanse,"PowerEdge R6525/C6525, AMD EPYC 7742, AMD EPYC 7742 64C, Mellanox HDR Infiniband",DELL EMC,United States,2020,Academic,91648,16640,2480.6,3299.33,,,Cluster,AMD Zen-2 (Rome),2250,CentOS,Linux,None,64,Dell PowerEdge Cluster,North America
239,197,,"Inspur NF5468M5, Xeon Gold 6242 16C 2.8GHz, NVIDIA Tesla V100, 100G Ethernet",Inspur,China,2020,Industry,50400,48000,2480,4680,,,Cluster,Intel Cascade lake,2800,Linux,Linux,NVIDIA Tesla V100,16,Inspur Cluster,Asia
240,198,,"Inspur NF5468M5, Xeon Gold 6242 16C 2.8GHz, NVIDIA Tesla V100, 100G Ethernet",Inspur,China,2020,Industry,50400,48000,2480,4680,,,Cluster,Intel Cascade lake,2800,Linux,Linux,NVIDIA Tesla V100,16,Inspur Cluster,Asia
241,199,Lomonosov 2,"T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz,Intel Xeon Gold 6126, Infiniband FDR, Nvidia K40m/P-100",T-Platforms,Russia,2014,Academic,64384,40960,2478,4946.79,,,Cluster,Intel Haswell,2600,Linux,Linux,NVIDIA Tesla K40m,14,T-Platforms Cluster,Europe
242,200,Kay,"Liqid Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Infiniband HDR",Liqid,United States,2020,Government,46848,,2475.67,3448.01,,,Cluster,Intel Cascade lake,2300,CentOS,Linux,None,48,Liqid Cluster,North America
243,201,B1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,60000,,2462.4,4800,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
244,202,Centennial,"SGI ICE XA, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR",HPE,United States,2017,Research,73920,,2443.7,2601.984,835,2.926586826,Cluster,Intel Broadwell,2200,RHEL 7.2,Linux,None,20,SGI ICE,North America
245,203,PAI-ASystem,"Sugon TC4600, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR",Sugon,China,2017,Research,48128,,2435,4004.25,740,3.290540541,Cluster,Intel Skylake,2600,Linux,Linux,None,16,Sugon Cluster,Asia
246,204,C1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,59200,,2433.83,4736,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
247,205,Big Red 200,"HPE Cray EX425, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",HPE,United States,2020,Academic,84480,,2431.2,3041.28,,,MPP,AMD Zen-2 (Rome),2250,SLES15 SP2,Linux,None,64,HPE Cray EX,North America
248,206,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Lenovo,China,2020,Industry,115200,,2429.15,4239.36,,,Cluster,Intel Skylake,2300,Linux,Linux,None,16,Lenovo ThinkSystem,Asia
249,207,D1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,58800,,2421.62,4704,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
250,208,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Lenovo,China,2020,Industry,113600,,2399.59,4180.48,,,Cluster,Intel Skylake,2300,Linux,Linux,None,16,Lenovo ThinkSystem,Asia
251,209,Nuri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",HPE,South Korea,2015,Research,69600,,2395.68,2895.36,1359.38,1.762332828,MPP,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Cray XC,Asia
252,210,Miri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",HPE,South Korea,2015,Research,69600,,2395.68,2895.36,1359.38,1.762332828,MPP,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Cray XC,Asia
253,211,E1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,58000,,2392.38,4640,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
254,212,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Lenovo,China,2020,Industry,58560,,2379.87,4684.8,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
255,213,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Lenovo,China,2020,Industry,112000,,2374.04,4121.6,,,Cluster,Intel Skylake,2300,Linux,Linux,None,16,Lenovo ThinkSystem,Asia
256,,B2F,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,Netherlands,2021,Industry,53760,,2363.77,4644.86,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,Europe
257,,B2E,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,Netherlands,2021,Industry,53760,,2363.77,4644.86,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,Europe
258,,B2B,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,Netherlands,2021,Industry,53760,,2363.77,4644.86,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,Europe
259,,B2D,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,United States,2021,Industry,53760,,2363.77,4644.86,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,North America
260,,B2C,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,United States,2021,Industry,53760,,2363.77,4644.86,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,North America
261,,B2A,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,United States,2021,Industry,53760,,2363.77,4644.86,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,North America
262,214,NVIDIA DGX SuperPOD,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",Nvidia,United States,2020,Vendor,19840,17280,2356,2812.8,89.94,26.19524127,Cluster,AMD Zen-2 (Rome),2250,Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,NVIDIA DGX,North America
263,215,ZZ1,"ThinkSystem HR630X, Xeon Silver 4110 8C 2.1GHz, 10G Ethernet",Lenovo,China,2020,Industry,153600,,2354.91,10321.92,,,Cluster,Intel Skylake,2100,Linux,Linux,None,8,Lenovo ThinkSystem,Asia
264,,B1B,"ThinkSystem C2397, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,69120,,2348.44,4644.86,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
265,,A10A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,69120,,2348.44,4644.86,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
266,,A4A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,69120,,2348.44,4644.86,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
267,216,Ares,"CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR",Huawei,Poland,2021,Academic,37824,,2338.79,3510.07,486.85,4.80392318,Cluster,Intel Cascade lake,2900,CentOS,Linux,None,24,Huawei Cluster,Europe
268,217,,"Inspur NF5468M5, Xeon 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet",Inspur,China,2020,Industry,48160,44800,2336,4368,,,Cluster,Intel Cascade lake,2400,Linux,Linux,NVIDIA Tesla V100,24,Inspur Cluster,Asia
269,218,,"Inspur NF5468M5, Xeon 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet",Inspur,China,2020,Industry,48160,44800,2336,4368,,,Cluster,Intel Cascade lake,2400,Linux,Linux,NVIDIA Tesla V100,24,Inspur Cluster,Asia
270,219,HoreKa-Blue,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, Mellanox HDR Infiniband",Lenovo,Germany,2021,Academic,45752,,2333.51,3513.75,494.51,4.718832784,Cluster,Intel Ice Lake,2400,Linux,Linux,None,38,Lenovo ThinkSystem,Europe
271,220,,"Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Industry,53760,51200,2329,4480,,,Cluster,Intel Skylake,2100,Linux,Linux,NVIDIA Tesla V100,16,Inspur Cluster,Asia
272,221,,"Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Industry,53760,51200,2329,4480,,,Cluster,Intel Skylake,2100,Linux,Linux,NVIDIA Tesla V100,16,Inspur Cluster,Asia
273,222,,"Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Industry,53760,51200,2329,4480,,,Cluster,Intel Skylake,2100,Linux,Linux,NVIDIA Tesla V100,16,Inspur Cluster,Asia
274,223,Makman-3,"PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",DELL EMC,Saudi Arabia,2018,Industry,53300,,2322.46,3581.76,608,3.819835526,Cluster,Intel Skylake,2100,RHEL 7.4,Linux,None,16,Dell PowerEdge Cluster,Asia
275,224,F1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,56000,,2317.95,4480,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
276,225,,"Inspur TS10000 HPC Server, Xeon Gold 6226R 16C 2.9GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Industry,49920,41600,2316,4412.1,,,Cluster,Intel Cascade lake,2900,Linux,Linux,NVIDIA Tesla V100,16,Inspur Cluster,Asia
277,226,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Lenovo,China,2020,Industry,108800,,2314.21,4003.84,,,Cluster,Intel Skylake,2300,Linux,Linux,None,16,Lenovo ThinkSystem,Asia
278,227,Taiwania 3,"QCT QuantaPlex T42D-2U/4N, Xeon Platinum 8280 28C 2.7GHz, InfiniBand HDR 100",Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2020,Research,50400,,2297.56,4354.56,563.85,4.074771659,Cluster,Intel Cascade lake,2700,CentOS,Linux,None,28,QCT QuantaPlex,Asia
279,228,Longhorn,"IBM Power System AC922, IBM POWER9 20C 3.6GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",IBM,United States,2019,Academic,37440,33280,2288,2867.405,,,Cluster,Power,3600,Redhat Linux,Linux,NVIDIA Tesla V100 SXM2,20, IBM Power Systems,North America
280,,Wilkes-3,"PowerEdge XE8545, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 80GB​, Infiniband HDR200 dual rail",DELL EMC,United Kingdom,2021,Academic,26880,20736,2287,6641.41,74.26,30.79719903,Cluster,AMD Zen-3 (Milan),2450,CentOS,Linux,NVIDIA A100 80GB​,64,Dell PowerEdge Cluster,Europe
281,229,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2017,Industry,55104,52480,2287,4890,,,Cluster,Intel Skylake,2100,CentOS,Linux,NVIDIA Tesla V100,16,Inspur Cluster,Asia
282,230,MeluXina - Cluster Module,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Mellanox HDR200 InfiniBand/ParTec ParaStation ClusterSuite",Atos,Luxembourg,2021,Research,73344,,2286.56,3003.18,377.21,6.061769306,Cluster,AMD Zen-2 (Rome),2600,RHEL compatible,Linux,None,64,BullSequana,Europe
283,231,,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Others,47320,44800,2282,4368,,,Cluster,Intel Cascade lake,2600,Linux,Linux,NVIDIA Tesla V100,18,Inspur Cluster,Asia
